subject,label,pred,prob_fad,attn_pos_0,attn_pos_1,attn_pos_2,attn_pos_3,attn_pos_4,attn_pos_5,attn_pos_6,attn_pos_7,attn_pos_8,attn_pos_9,attn_pos_10,attn_pos_11,attn_pos_12,attn_pos_13,attn_pos_14,attn_pos_15,attn_pos_16,attn_pos_17,attn_pos_18,attn_pos_19,attn_pos_20,attn_pos_21
MR-0280-t2,1,1,0.5568574666976929,0.047746460884809494,0.04684354364871979,0.06457118690013885,0.06024441868066788,0.05804070457816124,0.05665216222405434,0.05860718712210655,0.05396812781691551,0.042198605835437775,0.034992191940546036,0.03048541024327278,0.028810707852244377,0.033175092190504074,0.022064117714762688,0.03946441784501076,0.030680600553750992,0.04371871426701546,0.03167443722486496,0.062152277678251266,0.05902734771370888,0.05530733987689018,0.03957498073577881
MR-0287,1,1,0.5009864568710327,0.044667329639196396,0.04535296559333801,0.03967658802866936,0.04093518853187561,0.03918902575969696,0.039259329438209534,0.0407152883708477,0.036432720720767975,0.04093846678733826,0.02980642579495907,0.03855517879128456,0.025904307141900063,0.04649626091122627,0.038058340549468994,0.07207360118627548,0.04144398495554924,0.09787163883447647,0.039869289845228195,0.08706405013799667,0.04199083894491196,0.042230963706970215,0.031468335539102554
MR-0447,1,1,0.566989004611969,0.04585011675953865,0.048480987548828125,0.04643729701638222,0.045820415019989014,0.045704297721385956,0.05030044540762901,0.05663154646754265,0.04224507883191109,0.06812494248151779,0.030298464000225067,0.06962861120700836,0.022838294506072998,0.06268191337585449,0.023032907396554947,0.06175165995955467,0.026209574192762375,0.05582316964864731,0.03828743100166321,0.038908056914806366,0.04149439558386803,0.04451039806008339,0.034940000623464584
MR-0299-t1,0,1,0.5224340558052063,0.024752521887421608,0.04321589693427086,0.0656479075551033,0.05260132625699043,0.06094200536608696,0.0506306067109108,0.04452171176671982,0.05005298927426338,0.03544369712471962,0.04870319366455078,0.03507213294506073,0.046561386436223984,0.04063798859715462,0.03933596983551979,0.04425354674458504,0.03755265474319458,0.05182478949427605,0.04243387281894684,0.0397895984351635,0.061105914413928986,0.043613240122795105,0.041306983679533005
MR-0300-t1,0,1,0.5612025856971741,0.030892834067344666,0.04100459814071655,0.04780375212430954,0.04427123814821243,0.04553516209125519,0.04685595631599426,0.03833093121647835,0.05376604571938515,0.0390683114528656,0.05743661895394325,0.03736211732029915,0.0562322661280632,0.04119247943162918,0.054038163274526596,0.04860310256481171,0.054836638271808624,0.04026499763131142,0.04868070408701897,0.040427837520837784,0.04372865706682205,0.04098725691437721,0.04868030548095703
MR-0270,0,0,0.4835874140262604,0.026315055787563324,0.033449020236730576,0.03973910212516785,0.03754927217960358,0.03816765546798706,0.03298458456993103,0.035442251712083817,0.03175189346075058,0.03772790729999542,0.03287317231297493,0.052112288773059845,0.034404002130031586,0.0786455050110817,0.036122098565101624,0.11381600052118301,0.0328347273170948,0.10030604153871536,0.03410552069544792,0.05898188427090645,0.03661360591650009,0.03650369495153427,0.03955474868416786
MR-0283-t2,0,1,0.5161060690879822,0.028728477656841278,0.03485340625047684,0.05330672487616539,0.050516627728939056,0.051850151270627975,0.0531529039144516,0.04637949913740158,0.04730983078479767,0.036350317299366,0.04164000228047371,0.03629699721932411,0.039465662091970444,0.06492571532726288,0.03514948487281799,0.0695507675409317,0.03440437093377113,0.05269578471779823,0.03550274297595024,0.05652015283703804,0.04554548114538193,0.04033797234296799,0.04551699012517929
MR-0302-t1,1,1,0.5656259059906006,0.03106698952615261,0.039691850543022156,0.045614808797836304,0.04468772932887077,0.04743466526269913,0.05330884829163551,0.041328754276037216,0.06193364039063454,0.0415504053235054,0.06432322412729263,0.04016164690256119,0.055035315454006195,0.03740660473704338,0.052594996988773346,0.04049038141965866,0.04938817396759987,0.04002842307090759,0.049498267471790314,0.0352352075278759,0.044524502009153366,0.03931635618209839,0.045379187911748886
MR-0302-t2,1,1,0.5629934668540955,0.03272748738527298,0.04192602261900902,0.04766341671347618,0.04812324792146683,0.04747933894395828,0.04967080056667328,0.03949437290430069,0.05226694047451019,0.03864440694451332,0.05655074492096901,0.037532955408096313,0.05694127827882767,0.0371248759329319,0.052043937146663666,0.047461774200201035,0.048967838287353516,0.04845993220806122,0.051539719104766846,0.036504775285720825,0.0431412011384964,0.03958059847354889,0.046154264360666275
MR-0304-t2,1,1,0.5329319834709167,0.029605118557810783,0.03791118785738945,0.04145362600684166,0.042092833667993546,0.04043375700712204,0.03997378423810005,0.04798243194818497,0.054893575608730316,0.03628683090209961,0.053572043776512146,0.04298701882362366,0.057913970202207565,0.03786411136388779,0.060468681156635284,0.04043317958712578,0.04618673771619797,0.04252412170171738,0.06307521462440491,0.04095107689499855,0.05792931839823723,0.042294155806303024,0.04316715523600578
